site_num,bmp_type,landscape_position,region,soil_type_general,soil_texture_group,tillage_general,operation_type,calendar_year,treatment,soil_zone,rep,grid_year,ace,active_c,agg_stability,bulk_density,cec,k,mg,om,p,ph,pmn,slan,solvita
3,pretrial,Mid,Lake Erie West,fine sand,Coarse,zone,crop,2020,3,B,2,3-3-B-2020,,359.7,20.1,1.198098645,6.36,163.15,118.61,2.9,35.37,7.08,0.36,42,46.4
3,pretrial,Mid,Lake Erie West,fine sand,Coarse,zone,crop,2020,3,B,3,3-3-B-2020,,360.3,25.1,1.223175129,6.17,162.58,101.29,2.9,28.72,7.16,0.44,43.75,49.3
3,pretrial,Upper,Lake Erie West,fine sand,Coarse,zone,crop,2020,3,C,1,3-3-C-2020,,286.5,19.1,1.198795214,5.58,110.99,102.11,2.7,28.41,7.07,0.38,40.25,49.1
3,pretrial,Upper,Lake Erie West,fine sand,Coarse,zone,crop,2020,3,C,2,3-3-C-2020,,213.4,20.1,1.259396716,5.02,109.87,92.58,2.3,28.17,6.84,0.35,28,44.6
3,pretrial,Upper,Lake Erie West,fine sand,Coarse,zone,crop,2020,3,C,3,3-3-C-2020,,250.4,38.4,1.003059331,5.73,114.35,105.33,2.3,26.1,7.23,0.41,31.5,35.1
3,pretrial,Lower,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,A,1,3-4-A-2020,,176.9,57,1.220388853,12.42,186.93,178.39,5.6,19.59,7.35,2.12,164.5,70.2
3,pretrial,Lower,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,A,2,3-4-A-2020,,579.9,57.7,1.22874768,11.22,150.84,146.26,5.6,22.68,7.29,1.36,136.5,70.2
3,pretrial,Lower,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,A,3,3-4-A-2020,,1056,55.7,1.417517874,10.75,135.81,149.37,6.1,25.73,7.14,1.74,143.5,68.8
3,pretrial,Mid,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,B,1,3-4-B-2020,,469,26.9,1.380599718,6.45,161.71,103.56,3.6,43.46,6.99,1.38,59.5,50.5
3,pretrial,Mid,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,B,2,3-4-B-2020,,396.3,29.5,1.145159403,6.7,157.19,104.88,4.1,35.84,6.75,1.06,57.75,48.9
3,pretrial,Mid,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,B,3,3-4-B-2020,,396.6,24.2,1.241982491,6.58,160.79,109.68,3.8,38.84,6.95,1.13,52.5,51.7
3,pretrial,Upper,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,C,1,3-4-C-2020,,250.5,25.7,1.198795214,5.42,118.39,95.69,2.7,36.72,7.05,0.65,26.25,38.1
3,pretrial,Upper,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,C,2,3-4-C-2020,,250.4,17.6,1.381296287,5.44,140.71,104.81,2.7,31.64,7.14,0.82,24.5,41.8
3,pretrial,Upper,Lake Erie West,fine sand,Coarse,zone,crop,2020,4,C,3,3-4-C-2020,,250.1,18.1,1.328357045,5.29,131.72,100.76,2.5,36.7,6.98,1.56,31.5,46.4
4,pretrial,Mid,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,A,1,4-1-A-2020,,428,71,1.353433528,34.92,149.32,297.95,3.6,25.7,7.52,8.87,70,55
4,pretrial,Mid,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,A,2,4-1-A-2020,,394.1,53.9,1.503195858,32.66,136.47,366.32,3.2,24.53,7.6,6.56,80.5,51.9
4,pretrial,Mid,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,A,3,4-1-A-2020,,326.3,63.3,1.475333099,33.22,141.52,273,3.8,19.74,7.67,4.71,73.5,59
4,pretrial,Lower,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,B,1,4-1-B-2020,,639,73.5,1.277507509,22.51,192.03,354.02,6.3,59.73,6.67,17.1,150.5,69
4,pretrial,Lower,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,B,2,4-1-B-2020,,592,80.9,1.301190854,23.22,210.78,340.81,6.5,61.17,6.46,13.8,143.5,70.4
4,pretrial,Lower,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,B,3,4-1-B-2020,,478,81.9,1.253127595,23.19,185.84,356.16,6.1,51.22,6.5,11.3,140,72.8
4,pretrial,Upper,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,C,1,4-1-C-2020,,311,55.7,1.407765908,30.81,110.96,218.1,4.3,18.06,7.73,5.2,112,57.4
4,pretrial,Upper,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,C,2,4-1-C-2020,,249,49.7,1.463491427,30.55,105.36,212.59,4.1,11.71,7.84,5.9,108.5,51.7
4,pretrial,Upper,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,1,C,3,4-1-C-2020,,200,47.5,1.423090426,32.08,116.74,233.02,4.1,19.24,7.87,6.7,101.5,57.4
4,pretrial,Mid,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,2,A,1,4-2-A-2020,,526.8,71.1,1.278204078,23.89,134.83,296.11,4.7,40.14,6.37,15.94,73.5,59.2
4,pretrial,Mid,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,2,A,2,4-2-A-2020,,492.5,77.4,1.161180489,23.63,164.44,276.47,5,51.75,6.54,14.06,63,62.9
4,pretrial,Mid,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,2,A,3,4-2-A-2020,,460.7,69.4,1.241285922,23.16,132.9,288.85,4.3,43.67,6.74,17.11,59.5,57.6
4,pretrial,Lower,Lake Erie West,silty clay loam,Fine,reduced,livestock,2020,2,B,1,4-2-B-2020,,460,77.2,1.306066837,24.24,173.92,351.62,5.4,79.57,7.25,15.8,164.5,73.3
